ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
513,COINSJ1815+6127,Q,0.601,18.64,det,,19.213,0.04366901475014741,5,2,,9.16,,,9.787,0.105,-1.708
514,B21814+34,G,0.2448,18.71,det,,,,6,2,,8.42,,,9.964,-0.33,-1.527
515,87GB181948.2+670717,G,0.221,18.19,non,,,,5,2,,9.03,,,8.746,4.824,-1.004
516,4C+39.56,G,0.798,18.22,det,,,,10,2,,8.68,,,9.236,0.206,-1.298
517,2MASXJ18231409+7938486,Q,0.224,19.44,non,54.251,21.027,-0.9015372774965472,9,2,,9.71,,,9.963,0.661,-1.093
518,3C380,Q,0.692,17.26,non,56.25,23.028,-0.904676021282871,46,1,,18.79,-0.694,,,,
519,4C+29.56,G,0.842,19.02,non,,17.889,0.3298514456557772,17,2,,7.97,,,6.771,4.005,-0.232
520,COINSJ1845+3541,G,0.764,19.02,non,,17.349,0.44638900020909095,6,2,,9.53,,,10.214,-0.128,-1.62
521,WISEJ185027.59+282513.2,Q,2.56,18.88,non,57.245,24.117,-1.1237584251497799,30,1,,11.031,0.625,,,,
522,4C+72.26,G,3.532,17.2,non,56.152,23.182,-1.6183338072942712,7,1,,6.518,-1.137,,,,
523,PKS1937-101,Q,3.787,18.11,non,58.105,24.984,-1.1405636099118421,9,2,,8.25,,,7.564,3.536,-0.195
524,PKS1938-15,Q,0.452,17.82,non,,,,23,1,,7.344,-0.794,,,,
525,COINSJ1944+5448,G,0.263,18.69,det,,15.052,1.057447773350864,5,2,,8.8,,,9.499,0.109,-0.889
526,2MASXJ19455354+7055488,G,0.101,18.5,det,,12.837,2.0751014298989086,7,2,,9.44,,,9.157,1.204,-0.624
527,WMAP051,Q,1.223,18.12,det,,,,29,1,,14.49,-0.261,,,,
528,[HB89]2000-330,Q,3.773,18.98,non,57.408,24.233,-1.0079809833951336,17,2,,10.37,,,10.405,0.871,-0.883
529,WISEJ200728.76+660722.5,Q,1.325,18.15,non,55.12,22.313,-2.353400539414741,11,1,,11.095,-0.132,,,,
530,PKS2008-068,G,0.547,17.48,non,53.669,20.563,-1.1820211046573603,26,2,,9.3,,,9.978,0.122,-1.26
531,CGRaBSJ2022+6136,G,0.227,17.56,non,,17.085,0.4168123631582757,38,2,,9.7,,,9.917,0.506,-0.719
532,MRC2024-217,Q,0.459,18.51,non,55.195,21.769,-0.565485845854985,10,1,,6.266,-0.735,,,,
